canal_itc,dispositivo_itc,transaccion_itc,respuesta_itc,descripcion_trx_banco,descripcion_respuesta_banco
APP,APP,638,705,Transferencia A Otros Bancos,Supera Valor Maximo Personalizado
SVP,BLP,640,400,Avance Sucursal Virtual,No Recibio Respuesta Del Servidor Destino
SVP,BLP,539,0,Transferencia De Fondos Desde Cuenta De Ahorros A Inversion Fiduciaria,Transacción Exitosa
MOV,ALM,558,604,Envio de Dinero,El Envío Supera Valor Permitido
APP,APP,1538,0,Transferencias Cuenta Nequi,Transacción Exitosa
MOV,ALM,558,118,Envio de Dinero,Pin Ingresado No Es V┴Lido
APP,APP,204,0,Transferencia de cuenta a bolsillo,Transacción Exitosa
APP,APP,446,0,Desembolso Crediágil,Transacción Exitosa
SVP,BLP,531,30,Pago De Facturas Recaudo Referenciado Desde Cuenta De Ahorros,Disponible Insuficiente En Cuenta A Debitar
APP,APP,1605,0,Enviar dinero/Solicitar dinero,Transaccion Exitosa
MOV,ALM,558,115,Envio de Dinero,Se Generó Error En La Ejecución De Comandos Sobre La Caja Atalla
APP,APP,529,0,Pago De Tarjeta De Credito Desde Cuenta De Ahorros,Transacción Exitosa
MOV,MOV,558,74,Transferencia Comunidad Banca Móvil,Clave Bloqueada Por Numero Maximo De Intentos No Validos
SVP,BLP,346,30,Pago De Prestamos,Disponible Insuficiente En Cuenta A Debitar
SVP,BLP,449,70,Transferencia Desde Inversion Fiduciaria A Cuenta Corriente,Timeout
SVP,BLP,204,0,Transferencia de cuenta a bolsillo,Transacción Exitosa
SVP,PSE,1422,106,Pago PSE con tarjeta de crédito,Sistema no disponible en medios de pagos
APP,APP,1538,2,Transferencias Cuenta Nequi,Documento Sin Tarjetas Inscritas
SVP,PSE,422,34,Compra Pse Desde Cuenta Corriente,Valor Por Encima De Tope Diario De Transferencia
APP,APP,1638,2,Transferencia a Nequi sin inscripción ,Cuenta o cliente destino no existe. Te pedimos validarla nuevamente.
APP,APP,538,54,Transferencia De Fondos Desde Cuenta De Ahorros,Tipo De Cuentas(S) No Autorizada(S) A Transferir
APP,APP,1638,3,Transferencia a Nequi sin inscripción ,La cuenta destino en FINACLE no se encuentra activa.
APP,APP,538,32,Transferencia De Fondos Desde Cuenta De Ahorros,Cuenta Origen Tiene Bloqueos
APP,APP,539,535,Transferencia De Fondos Desde Cuenta De Ahorros A Inversion Fiduciaria,Numero De Dias Mayor Al Permitido
SVP,BLP,429,980,Pago De Tarjeta De Credito Desde Cuenta Corriente,No Recibi¾ Respuesta Del Servidor Destino - Tc3 - Medios De Pago
MOV,MOV,202,841,Recarga De Celular,Valor De Recarga Menor Al Minimo Permitido
APP,APP,539,34,Transferencia De Fondos Desde Cuenta De Ahorros A Inversion Fiduciaria,Valor Por Encima De Tope Diario De Transferencia
